guid, age, birthday, signup_date,account_type
a18347e0-3dcc-537e-9f0e-b24a79c37cfe,54,3/25/1967,10/23/2045,
146f8211-4242-515c-9490-ad28da76ddef,62,1/18/1987,06/22/1994,google
2ef7211e-875e-51b9-853e-4995e3d4d77c,38,12/16/1974,07/08/2068,other
6cea55b8-1147-537e-a639-184f94c46904,49,1/26/1959,02/02/1965,other
87cc272b-3607-5003-a028-c87aadc2b2f7,35,4/8/1974,02/11/1926,facebook
9bb4ae35-76ed-5669-81a6-87f6f5efaf9b,43,2/18/1977,04/20/2046,other
1af4db67-8278-5aed-b26d-84f6c351df72,63,4/21/1977,04/08/2048,facebook
46c2797f-6422-529f-9cf8-ddcf6fa51ba6,42,4/23/1974,12/29/1904,google
3c02ea0a-4f4a-54ed-be90-ffb5395f293e,28,9/16/1956,09/08/2066,google
12f17b0d-756d-5d6b-9238-29266ef241aa,56,12/26/1965,05/13/2026,facebook
dffc29fe-faef-55c9-86e2-72022d69bf9a,51,2/25/1984,03/08/1954,
8f931b01-7c58-5db4-b94a-661b32101fcc,63,3/31/1963,09/12/1956,
1ae4fda3-e9a7-562f-aab6-b3620f47099e,40,11/15/1963,03/27/1952,google
8b7655d4-6976-5cd9-baf1-78b7b8268710,40,11/17/1999,03/15/1982,google
12f28a29-8b88-5eb8-a95f-5466e6f52825,22,6/6/1984,05/25/2041,facebook
edd1e388-63b0-5b9d-ab89-0c4a873fa97c,20,6/30/1977,09/22/2058,facebook
c7b6e64f-bb0b-574c-92d1-b24a18c24832,34,6/2/1985,11/14/1937,
48ffe3b0-b1fb-520c-9c59-152ec9b514ff,22,3/22/1959,03/27/1968,google
ae857932-02a0-50d9-b780-4ecb71e15142,61,11/12/1997,09/06/2003,facebook
ae857932-02a0-50d9-b780-4ecb71e15142,61,11/12/1997,09/06/2003,google
a12300ab-0767-5274-8363-52886bcc485a,24,10/6/2002,05/04/1946,other
7e4a0c94-7cde-5251-a1d3-23f04936c460,43,5/26/1971,06/01/2009,
172afe64-dec9-508a-a42c-6555644ab45f,25,1/17/1964,07/02/2009,other
d5bc8f9c-50a4-5b15-88cf-9f599a5edee7,55,3/22/1970,03/11/1955,other
74f4c42d-54b9-5a0c-a889-cc856766a3f2,63,7/23/1997,05/02/2059,google
